Total,Artist,Title,Country
"81,671,921",Benson Boone,Beautiful Things,country/global_daily_totals.html
"286,191,130",Xavi,La Diabla,country/global_daily_totals.html
"743,490,391",Tate McRae,greedy,country/global_daily_totals.html
"375,564,881",The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",country/global_daily_totals.html
"1,271,909,550",Taylor Swift,Cruel Summer,country/global_daily_totals.html
"330,145,657",Noah Kahan,Stick Season,country/global_daily_totals.html
"542,268,048",Mitski,My Love Mine All Mine,country/global_daily_totals.html
"115,566,158",21 Savage,redrum,country/global_daily_totals.html
"208,831,844",Feid,LUNA (w/ ATL Jacob),country/global_daily_totals.html
"384,154,381",Jack Harlow,Lovin On Me,country/global_daily_totals.html
"180,500,923",Teddy Swims,Lose Control,country/global_daily_totals.html
"1,743,431,970",Miley Cyrus,Flowers,country/global_daily_totals.html
"149,363,093",Ariana Grande,"yes, and?",country/global_daily_totals.html
"565,821,258",The Weeknd,"Popular (w/ Playboi Carti, Madonna)",country/global_daily_totals.html
"35,825,145",YG Marley,Praise Jah In The Moonlight,country/global_daily_totals.html
"221,470,027",Xavi,La Víctima,country/global_daily_totals.html
"65,454,688",Natasha Bedingfield,Unwritten,country/global_daily_totals.html
"426,047,054",Bad Bunny,PERRO NEGRO (w/ Feid),country/global_daily_totals.html
"103,902,104",Kali Uchis,Igual Que Un Ángel (w/ Peso Pluma),country/global_daily_totals.html
"114,447,338",Sophie Ellis,Bextor - Murder On The Dancefloor,country/global_daily_totals.html
"230,008,777",Dua Lipa,Houdini,country/global_daily_totals.html
"1,335,803,008",Arctic Monkeys,I Wanna Be Yours,country/global_daily_totals.html
"66,651,865",Flo Milli,Never Lose Me,country/global_daily_totals.html
"534,150,166",Kenya Grace,Strangers,country/global_daily_totals.html
"596,601,547",KAROL G,QLONA (w/ Peso Pluma),country/global_daily_totals.html
"1,204,225,413",Jung Kook,Seven (w/ Latto),country/global_daily_totals.html
"71,046,317",Myke Towers,LA FALDA,country/global_daily_totals.html
"748,237,989",Olivia Rodrigo,vampire,country/global_daily_totals.html
"175,038,992",Peso Pluma,BELLAKEO (w/ Anitta),country/global_daily_totals.html
"750,595,195",SZA,Snooze,country/global_daily_totals.html
"841,139,243",Doja Cat,Paint The Town Red,country/global_daily_totals.html
"2,636,552",Noah Kahan,Forever,country/global_daily_totals.html
"618,018,426",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",country/global_daily_totals.html
"384,463,918",Tyla,Water,country/global_daily_totals.html
"94,110,266",Bizarrap,"Young Miko: Bzrp Music Sessions, Vol. 58 (w/ Young Miko)",country/global_daily_totals.html
"362,977,191",Zach Bryan,I Remember Everything (w/ Kacey Musgraves),country/global_daily_totals.html
"1,625,136,957",SZA,Kill Bill,country/global_daily_totals.html
"2,221,927,956",The Weeknd,Starboy (w/ Daft Punk),country/global_daily_totals.html
"423,882,372",Calle 24,"Que Onda (w/ Chino Pacas, Fuerza Regida)",country/global_daily_totals.html
"312,070,296",Jung Kook,Standing Next to You,country/global_daily_totals.html
"6,265,405",Mahmood,TUTA GOLD,country/global_daily_totals.html
"443,006,024",Bruno Mars,Just the Way You Are,country/global_daily_totals.html
"2,961,037,131",Harry Styles,As It Was,country/global_daily_totals.html
"647,201,804",Lord Huron,The Night We Met,country/global_daily_totals.html
"1,434,113,013",Vance Joy,Riptide,country/global_daily_totals.html
"278,109,273",Travis Scott,FE!N,country/global_daily_totals.html
"55,939,422",Oscar Ortiz,FIRST LOVE (w/ Edgardo Nuñez),country/global_daily_totals.html
"382,667,609",cassö,"Prada (w/ RAYE, D-Block Europe)",country/global_daily_totals.html
"871,360,682",David Kushner,Daylight,country/global_daily_totals.html
"195,802,821",Drake,"Rich Baby Daddy (w/ Sexyy Red, SZA)",country/global_daily_totals.html
"6,561,114",Geolier,"I P’ ME, TU P’ TE",country/global_daily_totals.html
"286,720,201",Fuerza Regida,HARLEY QUINN (w/ Marshmello),country/global_daily_totals.html
"1,355,032,257",Coldplay,Yellow,country/global_daily_totals.html
"681,658,500",Dua Lipa,Dance The Night (From Barbie The Album),country/global_daily_totals.html
"687,502,004",Bruno Mars,When I Was Your Man,country/global_daily_totals.html
"19,864,880",Rich Amiri,ONE CALL,country/global_daily_totals.html
"1,372,757,402",Taylor Swift,Anti-Hero,country/global_daily_totals.html
"2,025,017",¥$,"Talking / Once Again (w/ Kanye West, Ty Dolla $ign, North West)",country/global_daily_totals.html
"360,539,250",Travis Scott,I KNOW ?,country/global_daily_totals.html
"337,818,854",Doja Cat,Agora Hills,country/global_daily_totals.html
"125,896,714",Sabrina Carpenter,Feather,country/global_daily_totals.html
"344,723,758",Maluma,Según Quién (w/ Carin Leon),country/global_daily_totals.html
"1,451,915,885",The Weeknd,Die For You,country/global_daily_totals.html
"177,904,019",JID,"Surround Sound (w/ 21 Savage, Baby Tate)",country/global_daily_totals.html
"484,894,829",iñigo quintero,Si No Estás,country/global_daily_totals.html
"589,902,097",Taylor Swift,Lover,country/global_daily_totals.html
"3,978,586,173",The Weeknd,Blinding Lights,country/global_daily_totals.html
"50,576,026",Creepy Nuts,Bling-Bang-Bang-Born,country/global_daily_totals.html
"153,543,139",Tate McRae,exes,country/global_daily_totals.html
"597,958,204",Gunna,fukumean,country/global_daily_totals.html
"2,050,316,299",The Neighbourhood,Sweater Weather,country/global_daily_totals.html
"3,101,277,407",Lewis Capaldi,Someone You Loved,country/global_daily_totals.html
"52,585,057",Mesita,"Una Foto Remix (w/ Nicki Nicole, Tiago PZK, Emilia)",country/global_daily_totals.html
"1,770,340,471",Tom Odell,Another Love,country/global_daily_totals.html
"71,624,908",Eugenio Esquivel,"Alucin (w/ Grupo Marca Registrada, Sebastian Esquivel)",country/global_daily_totals.html
"735,496,267",Bruno Mars,Locked out of Heaven,country/global_daily_totals.html
"148,785,600",Travis Scott,MY EYES,country/global_daily_totals.html
"676,882,559",Taylor Swift,cardigan,country/global_daily_totals.html
