Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Title,Country
1,+2,Benson Boone - Beautiful Things,22,1,(x4),"5,613,842","+798,921","34,942,734","+872,488","81,671,921",Benson Boone,Beautiful Things,Global
2,=,Xavi - La Diabla,64,1,(x20),"5,194,103","+225,839","35,787,503","-396,929","286,191,130",Xavi,La Diabla,Global
3,-2,Tate McRae - greedy,148,1,(x34),"5,101,565",-639,"35,178,152","-259,951","743,490,391",Tate McRae,greedy,Global
4,=,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",125,2,(x2),"4,709,776","-76,845","33,488,250","-338,453","375,564,881",The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",Global
5,=,Taylor Swift - Cruel Summer,369,2,(x17),"4,658,897","+141,806","30,698,216","+272,342","1,271,909,550",Taylor Swift,Cruel Summer,Global
6,+2,Noah Kahan - Stick Season,123,6,,"4,589,005","+455,577","28,866,320","+269,350","330,145,657",Noah Kahan,Stick Season,Global
7,-1,Mitski - My Love Mine All Mine,144,2,(x4),"4,194,054","-241,023","29,777,794","-73,532","542,268,048",Mitski,My Love Mine All Mine,Global
8,-1,21 Savage - redrum,29,6,,"4,192,394","+13,568","27,433,668",-685,"115,566,158",21 Savage,redrum,Global
9,=,Feid - LUNA (w/ ATL Jacob),67,8,,"4,110,849","-11,254","27,187,064","-3,224","208,831,844",Feid,LUNA (w/ ATL Jacob),Global
10,=,Jack Harlow - Lovin On Me,92,2,(x8),"3,975,564","+44,589","27,026,710","-317,425","384,154,381",Jack Harlow,Lovin On Me,Global
11,=,Teddy Swims - Lose Control,86,11,,"3,786,391","+132,248","24,983,580","-5,567","180,500,923",Teddy Swims,Lose Control,Global
12,+2,Miley Cyrus - Flowers,393,1,(x82),"3,481,348","+123,202","19,744,240","+1,487,244","1,743,431,970",Miley Cyrus,Flowers,Global
13,-1,"Ariana Grande - yes, and?",29,1,(x8),"3,439,341","-57,096","24,917,593","-621,939","149,363,093",Ariana Grande,"yes, and?",Global
14,-1,"The Weeknd - Popular (w/ Playboi Carti, Madonna)",253,10,,"3,391,654","-23,845","23,567,800","-318,795","565,821,258",The Weeknd,"Popular (w/ Playboi Carti, Madonna)",Global
15,=,YG Marley - Praise Jah In The Moonlight,15,14,,"3,368,540","+140,238","21,486,944","+862,980","35,825,145",YG Marley,Praise Jah In The Moonlight,Global
16,=,Xavi - La Víctima,80,6,,"3,182,777","+72,788","22,482,612","-331,391","221,470,027",Xavi,La Víctima,Global
17,+1,Natasha Bedingfield - Unwritten,30,17,,"3,071,207","-2,034","20,783,092","+32,009","65,454,688",Natasha Bedingfield,Unwritten,Global
18,+1,Bad Bunny - PERRO NEGRO (w/ Feid),120,3,(x1),"3,052,269","+31,241","20,215,343","-152,069","426,047,054",Bad Bunny,PERRO NEGRO (w/ Feid),Global
19,-2,Kali Uchis - Igual Que Un Ángel (w/ Peso Pluma),29,8,,"3,024,302","-74,900","22,238,450","-601,452","103,902,104",Kali Uchis,Igual Que Un Ángel (w/ Peso Pluma),Global
20,+2,Sophie Ellis-Bextor - Murder On The Dancefloor,41,12,,"2,914,622","+123,125","20,375,386","-494,548","114,447,338",Sophie Ellis,Bextor - Murder On The Dancefloor,Global
21,=,Dua Lipa - Houdini,92,2,(x1),"2,912,384","+106,962","19,458,814","-44,937","230,008,777",Dua Lipa,Houdini,Global
22,-2,Arctic Monkeys - I Wanna Be Yours,583,11,,"2,905,987","-48,120","20,245,107","-105,532","1,335,803,008",Arctic Monkeys,I Wanna Be Yours,Global
23,+1,Flo Milli - Never Lose Me,29,23,,"2,836,943","+82,964","18,658,449","+102,868","66,651,865",Flo Milli,Never Lose Me,Global
24,+1,Kenya Grace - Strangers,162,3,(x1),"2,800,196","+78,466","18,616,426","-67,419","534,150,166",Kenya Grace,Strangers,Global
25,+5,KAROL G - QLONA (w/ Peso Pluma),183,4,,"2,725,958","+120,990","17,312,763","+74,118","596,601,547",KAROL G,QLONA (w/ Peso Pluma),Global
26,-3,Jung Kook - Seven (w/ Latto),211,1,(x71),"2,710,334","-56,328","19,042,918","-71,898","1,204,225,413",Jung Kook,Seven (w/ Latto),Global
27,+9,Myke Towers - LA FALDA,45,27,,"2,703,398","+263,747","15,762,376","+440,239","71,046,317",Myke Towers,LA FALDA,Global
28,=,Olivia Rodrigo - vampire,225,1,(x7),"2,692,973","+39,592","17,608,161","+332,843","748,237,989",Olivia Rodrigo,vampire,Global
29,=,Peso Pluma - BELLAKEO (w/ Anitta),63,8,,"2,678,470","+34,273","18,669,236","-305,027","175,038,992",Peso Pluma,BELLAKEO (w/ Anitta),Global
30,-3,SZA - Snooze,418,25,,"2,668,243","-46,209","16,658,559","+687,687","750,595,195",SZA,Snooze,Global
1,+1,Noah Kahan - Stick Season,459,1,(x1),"1,838,333","+283,558","10,773,064","+293,497","264,132,943",Noah Kahan,Stick Season,United States
2,-1,Benson Boone - Beautiful Things,22,1,(x5),"1,828,892","+257,913","11,576,819","+204,523","28,862,104",Benson Boone,Beautiful Things,United States
3,NEW,Noah Kahan - Forever,1,3,(x1),"1,797,708",,"1,797,708","+1,797,708","1,797,708",Noah Kahan,Forever,United States
4,-1,21 Savage - redrum,29,1,(x1),"1,498,382","+10,184","9,757,244","-25,829","43,120,602",21 Savage,redrum,United States
5,-1,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),169,1,(x7),"1,424,709","+59,950","9,035,429","+78,778","216,707,815",Zach Bryan,I Remember Everything (w/ Kacey Musgraves),United States
6,-1,Jack Harlow - Lovin On Me,92,1,(x37),"1,370,957","+41,848","9,122,304","-58,815","138,226,218",Jack Harlow,Lovin On Me,United States
7,-1,Flo Milli - Never Lose Me,46,5,,"1,336,801","+54,141","8,724,228","+22,900","39,258,827",Flo Milli,Never Lose Me,United States
8,=,Xavi - La Diabla,60,5,,"1,181,155","+79,696","7,635,737","-5,710","54,461,203",Xavi,La Diabla,United States
9,-2,Mitski - My Love Mine All Mine,147,2,(x4),"1,137,743","-54,454","7,830,554","-2,247","156,545,770",Mitski,My Love Mine All Mine,United States
10,=,Tate McRae - greedy,148,3,(x5),"1,061,692","+18,308","7,189,661","-36,537","150,245,165",Tate McRae,greedy,United States
11,=,Taylor Swift - Cruel Summer,456,1,(x2),"1,049,850","+54,336","6,906,898","+44,788","358,602,623",Taylor Swift,Cruel Summer,United States
12,-3,SZA - Snooze,428,9,,"1,040,757","-8,535","6,670,956","+209,860","281,311,802",SZA,Snooze,United States
13,-1,Teddy Swims - Lose Control,94,11,,"1,004,735","+15,669","6,591,026","+22,114","52,802,936",Teddy Swims,Lose Control,United States
14,-1,Rich Amiri - ONE CALL,28,13,,"953,616","-1,447","6,059,895","+101,084","16,445,696",Rich Amiri,ONE CALL,United States
15,=,Zach Bryan - Something in the Orange,659,4,,"907,959","+53,389","5,839,849","+20,735","446,065,710",Zach Bryan,Something in the Orange,United States
16,=,"Drake - Rich Baby Daddy (w/ Sexyy Red, SZA)",127,10,,"842,845","+31,254","5,640,192","-19,884","89,297,054",Drake,"Rich Baby Daddy (w/ Sexyy Red, SZA)",United States
17,-3,Travis Scott - I KNOW ?,197,3,(x2),"840,960","-24,034","5,473,085","+34,615","159,379,004",Travis Scott,I KNOW ?,United States
18,+5,Morgan Wallen - Last Night,375,1,(x56),"814,682","+48,843","5,146,688","+35,685","471,857,547",Morgan Wallen,Last Night,United States
19,-1,"JID - Surround Sound (w/ 21 Savage, Baby Tate)",130,9,,"794,003","-10,817","5,433,531","-98,205","78,605,469",JID,"Surround Sound (w/ 21 Savage, Baby Tate)",United States
20,=,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",73,15,,"793,215","-7,906","5,545,662","-82,526","44,046,190",The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",United States
21,-4,Travis Scott - FE!N,196,2,(x4),"791,032","-16,250","4,912,324","+158,310","115,272,081",Travis Scott,FE!N,United States
22,=,Lil Tecca - 500lbs,152,12,,"783,899","+15,605","5,331,532","-28,141","111,013,438",Lil Tecca,500lbs,United States
23,+4,Xavi - La Víctima,72,14,,"780,436","+26,593","5,190,154","-28,709","47,242,697",Xavi,La Víctima,United States
24,-5,Megan Thee Stallion - HISS,15,1,(x6),"775,044","-29,715","7,104,258","-1,054,436","19,214,353",Megan Thee Stallion,HISS,United States
25,-1,Olivia Rodrigo - vampire,225,1,(x12),"766,394","+2,448","5,072,021","+108,829","218,807,294",Olivia Rodrigo,vampire,United States
26,-5,Kali Uchis - Igual Que Un Ángel (w/ Peso Pluma),29,6,,"764,510","-23,651","5,620,930","-162,354","27,536,384",Kali Uchis,Igual Que Un Ángel (w/ Peso Pluma),United States
27,-2,Luke Combs - Fast Car,321,3,(x3),"763,532","+7,197","4,533,486","+287,366","217,882,642",Luke Combs,Fast Car,United States
28,+140,Kacey Musgraves - Deeper Well,2,28,,"757,226","+378,309","1,136,143","+757,226","1,136,143",Kacey Musgraves,Deeper Well,United States
29,-1,4batz - act ii: date @ 8,35,25,,"736,574","-15,809","5,075,454","-9,290","21,202,898",4batz,act ii: date @ 8,United States
30,-1,"The Weeknd - Popular (w/ Playboi Carti, Madonna)",208,3,(x1),"735,583","-14,472","5,162,736","-102,327","99,820,159",The Weeknd,"Popular (w/ Playboi Carti, Madonna)",United States
1,=,Noah Kahan - Stick Season,131,1,(x45),"777,510","+91,005","5,021,224","-14,457","58,247,969",Noah Kahan,Stick Season,United Kingdom
2,=,Sophie Ellis-Bextor - Murder On The Dancefloor,53,2,(x33),"444,534","+46,419","2,984,999","-90,441","21,270,106",Sophie Ellis,Bextor - Murder On The Dancefloor,United Kingdom
3,+2,Benson Boone - Beautiful Things,22,3,(x2),"415,931","+100,019","2,335,068","+93,358","5,405,943",Benson Boone,Beautiful Things,United Kingdom
4,-1,Teddy Swims - Lose Control,78,3,(x7),"389,600","+32,615","2,571,483","-14,039","15,348,398",Teddy Swims,Lose Control,United Kingdom
5,-1,Jack Harlow - Lovin On Me,92,1,(x20),"349,630","+21,545","2,343,435","-34,359","40,417,229",Jack Harlow,Lovin On Me,United Kingdom
6,=,YG Marley - Praise Jah In The Moonlight,29,5,,"326,051","+23,473","2,119,054","+68,097","5,145,753",YG Marley,Praise Jah In The Moonlight,United Kingdom
7,+1,"cassö - Prada (w/ RAYE, D-Block Europe)",183,3,(x7),"318,389","+34,029","2,004,852","-3,282","51,079,188",cassö,"Prada (w/ RAYE, D-Block Europe)",United Kingdom
8,-1,Tate McRae - greedy,148,2,(x25),"305,661","+11,902","2,059,090","-14,757","47,057,515",Tate McRae,greedy,United Kingdom
9,+1,"Ariana Grande - yes, and?",29,1,(x1),"280,364","+28,544","1,870,396","-36,664","10,802,882",Ariana Grande,"yes, and?",United Kingdom
10,+1,Taylor Swift - Cruel Summer,349,3,(x17),"272,786","+30,381","1,790,769","+9,876","73,024,648",Taylor Swift,Cruel Summer,United Kingdom
11,-2,Natasha Bedingfield - Unwritten,45,9,,"261,417",+772,"1,718,232",+379,"8,296,309",Natasha Bedingfield,Unwritten,United Kingdom
12,=,Kenya Grace - Strangers,162,1,(x31),"258,823","+17,019","1,698,296","-8,155","51,480,966",Kenya Grace,Strangers,United Kingdom
13,=,"The Weeknd - Popular (w/ Playboi Carti, Madonna)",253,7,,"245,261","+14,442","1,677,733","-22,291","43,438,877",The Weeknd,"Popular (w/ Playboi Carti, Madonna)",United Kingdom
14,=,21 Savage - redrum,29,8,,"238,150","+13,535","1,509,465","+7,092","6,719,153",21 Savage,redrum,United Kingdom
15,=,Flo Milli - Never Lose Me,37,13,,"235,365","+14,646","1,551,558","+5,699","6,639,148",Flo Milli,Never Lose Me,United Kingdom
16,=,Dua Lipa - Houdini,91,2,(x1),"233,676","+27,199","1,499,766","-2,475","16,486,523",Dua Lipa,Houdini,United Kingdom
